id,sales
0,16
1,13
2,15
3,15
4,18
5,18
6,21
7,15
8,12
9,14
10,18
11,14
12,15
13,19
14,13
15,14
16,14
17,16
18,18
19,20
20,20
21,11
22,14
23,16
24,15
25,17
26,19
27,20
28,11
29,12
30,13
31,15
32,19
33,21
34,21
35,13
36,12
37,17
38,18
39,16
40,16
41,21
42,13
43,16
44,22
45,17
46,18
47,18
48,19
49,13
50,16
51,14
52,19
53,14
54,21
55,21
56,11
57,15
58,15
59,25
60,21
61,18
62,23
63,17
64,14
65,21
66,17
67,22
68,18
69,21
70,17
71,20
72,24
73,22
74,22
75,22
76,29
77,18
78,19
79,23
80,21
81,27
82,25
83,26
84,16
85,20
86,16
87,18
88,18
89,19
90,21
91,21
92,20
93,22
94,24
95,25
96,25
97,20
98,21
99,18
100,21
101,26
102,24
103,28
104,17
105,22
106,18
107,19
108,25
109,23
110,27
111,16
112,19
113,23
114,21
115,28
116,26
117,23
118,17
119,18
120,20
121,30
122,25
123,32
124,31
125,19
126,27
127,22
128,31
129,26
130,30
131,26
132,16
133,21
134,24
135,20
136,28
137,32
138,31
139,19
140,21
141,20
142,20
143,31
144,30
145,30
146,21
147,22
148,23
149,30
150,36
151,38
152,38
153,27
154,25
155,28
156,30
157,30
158,39
159,35
160,23
161,27
162,27
163,29
164,28
165,32
166,28
167,22
168,28
169,28
170,27
171,33
172,35
173,42
174,23
175,33
176,26
177,28
178,30
179,33
180,17
181,19
182,16
183,20
184,17
185,26
186,22
187,14
188,17
189,20
190,18
191,22
192,23
193,21
194,16
195,21
196,18
197,19
198,21
199,22
200,24
201,18
202,19
203,21
204,20
205,22
206,22
207,21
208,16
209,20
210,14
211,29
212,29
213,26
214,23
215,19
216,21
217,21
218,23
219,24
220,27
221,24
222,19
223,22
224,20
225,22
226,20
227,24
228,23
229,16
230,15
231,21
232,21
233,23
234,23
235,29
236,19
237,20
238,21
239,23
240,24
241,27
242,27
243,21
244,26
245,28
246,27
247,29
248,32
249,33
250,20
251,24
252,24
253,26
254,25
255,29
256,27
257,20
258,22
259,23
260,21
261,33
262,29
263,31
264,23
265,28
266,29
267,25
268,27
